"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","rejects with 400 when pageCount is a string","","Thu May 14 14:53:08 UTC 2026","passed","Thu May 14 14:53:08 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","rejects with 400 when pageCount is a string"
"","280","handles a missing publishDate without a 5xx","","Thu May 14 14:53:11 UTC 2026","passed","Thu May 14 14:53:11 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","handles a missing publishDate without a 5xx"
"","263","returns 4xx for a far-out-of-range numeric id","","Thu May 14 14:53:12 UTC 2026","passed","Thu May 14 14:53:12 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for a far-out-of-range numeric id"
"","303","rejects with 400 when body pageCount is a string","","Thu May 14 14:53:06 UTC 2026","passed","Thu May 14 14:53:06 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","rejects with 400 when body pageCount is a string"
"","273","rejects with 400 when id is a decimal","","Thu May 14 14:53:08 UTC 2026","passed","Thu May 14 14:53:09 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","rejects with 400 when id is a decimal"
"","264","response is JSON and arrives within an acceptable time","","Thu May 14 14:53:07 UTC 2026","passed","Thu May 14 14:53:08 UTC 2026","","CreateBookHappyPathSpec","com.example.apitests.books.happyPath.CreateBookHappyPathSpec","response is JSON and arrives within an acceptable time"
"","266","handles a negative pageCount without a 5xx","","Thu May 14 14:53:10 UTC 2026","passed","Thu May 14 14:53:10 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","handles a negative pageCount without a 5xx"
"","314","rejects with 400 when path id is non-numeric ('abc')","","Thu May 14 14:53:05 UTC 2026","passed","Thu May 14 14:53:05 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","rejects with 400 when path id is non-numeric ('abc')"
"","526","every book in the list contains every documented field","","Thu May 14 14:53:04 UTC 2026","passed","Thu May 14 14:53:04 UTC 2026","","GetAllBooksHappyPathSpec","com.example.apitests.books.happyPath.GetAllBooksHappyPathSpec","every book in the list contains every documented field"
"","2181","updates an existing book and verify the new state back","","Thu May 14 14:53:00 UTC 2026","passed","Thu May 14 14:53:02 UTC 2026","","UpdateBookHappyPathSpec","com.example.apitests.books.happyPath.UpdateBookHappyPathSpec","updates an existing book and verify the new state back"
"","297","returns 400 when id is non-numeric (' ')","","Thu May 14 14:53:02 UTC 2026","passed","Thu May 14 14:53:02 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","returns 400 when id is non-numeric (' ')"
"","269","handles a missing title without a 5xx","","Thu May 14 14:53:10 UTC 2026","passed","Thu May 14 14:53:10 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","handles a missing title without a 5xx"
"","1952","returns 400 when id is non-numeric ('xyz')","","Thu May 14 14:53:00 UTC 2026","passed","Thu May 14 14:53:02 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","returns 400 when id is non-numeric ('xyz')"
"","275","returns 200 with matching id for possible range of id 100","","Thu May 14 14:53:08 UTC 2026","passed","Thu May 14 14:53:09 UTC 2026","","GetBookByIdHappyPathSpec","com.example.apitests.books.happyPath.GetBookByIdHappyPathSpec","returns 200 with matching id for possible range of id 100"
"","286","rejects with 400 when id is a string","","Thu May 14 14:53:08 UTC 2026","passed","Thu May 14 14:53:08 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","rejects with 400 when id is a string"
"","273","rejects with 400 when path id is non-numeric ('!!')","","Thu May 14 14:53:05 UTC 2026","passed","Thu May 14 14:53:06 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","rejects with 400 when path id is non-numeric ('!!')"
"","289","create a book with a very long title","","Thu May 14 14:53:07 UTC 2026","passed","Thu May 14 14:53:07 UTC 2026","","CreateBookHappyPathSpec","com.example.apitests.books.happyPath.CreateBookHappyPathSpec","create a book with a very long title"
"","264","never returns a 5xx for malformed id 'abc'","","Thu May 14 14:53:15 UTC 2026","passed","Thu May 14 14:53:15 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","never returns a 5xx for malformed id 'abc'"
"","268","handles an empty-string title without a 5xx","","Thu May 14 14:53:10 UTC 2026","passed","Thu May 14 14:53:11 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","handles an empty-string title without a 5xx"
"","276","never returns a 5xx for malformed id '0'","","Thu May 14 14:53:15 UTC 2026","passed","Thu May 14 14:53:16 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","never returns a 5xx for malformed id '0'"
"","297","returns 400 when id is non-numeric ('1.5')","","Thu May 14 14:53:03 UTC 2026","passed","Thu May 14 14:53:03 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","returns 400 when id is non-numeric ('1.5')"
"","286","never returns a 5xx for malformed input '-1'","","Thu May 14 14:53:04 UTC 2026","passed","Thu May 14 14:53:04 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","never returns a 5xx for malformed input '-1'"
"","269","rejects with 4xx when body is not in JSON format","","Thu May 14 14:53:09 UTC 2026","passed","Thu May 14 14:53:09 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","rejects with 4xx when body is not in JSON format"
"","527","deleting the same id twice still returns 200","","Thu May 14 14:53:12 UTC 2026","passed","Thu May 14 14:53:12 UTC 2026","","DeleteBookHappyPathSpec","com.example.apitests.books.happyPath.DeleteBookHappyPathSpec","deleting the same id twice still returns 200"
"","322","PUT to an id that doesn't exist still returns 200","","Thu May 14 14:53:02 UTC 2026","passed","Thu May 14 14:53:02 UTC 2026","","UpdateBookHappyPathSpec","com.example.apitests.books.happyPath.UpdateBookHappyPathSpec","PUT to an id that doesn't exist still returns 200"
"","616","responds 200 OK with a JSON list of books","","Thu May 14 14:53:03 UTC 2026","passed","Thu May 14 14:53:04 UTC 2026","","GetAllBooksHappyPathSpec","com.example.apitests.books.happyPath.GetAllBooksHappyPathSpec","responds 200 OK with a JSON list of books"
"","268","DELETE book - id range [id: 50, #3]","","Thu May 14 14:53:11 UTC 2026","passed","Thu May 14 14:53:11 UTC 2026","","DeleteBookHappyPathSpec","com.example.apitests.books.happyPath.DeleteBookHappyPathSpec","DELETE book - id range [id: 50, #3]"
"","264","returns 4xx for malformed id '0.0'","","Thu May 14 14:53:13 UTC 2026","passed","Thu May 14 14:53:13 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id '0.0'"
"","283","creates a book with less fields","","Thu May 14 14:53:07 UTC 2026","passed","Thu May 14 14:53:07 UTC 2026","","CreateBookHappyPathSpec","com.example.apitests.books.happyPath.CreateBookHappyPathSpec","creates a book with less fields"
"","294","publishDate is in an ISO-8601-like format","","Thu May 14 14:53:09 UTC 2026","passed","Thu May 14 14:53:10 UTC 2026","","GetBookByIdHappyPathSpec","com.example.apitests.books.happyPath.GetBookByIdHappyPathSpec","publishDate is in an ISO-8601-like format"
"","266","handles an empty JSON object without a 5xx","","Thu May 14 14:53:11 UTC 2026","passed","Thu May 14 14:53:11 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","handles an empty JSON object without a 5xx"
"","279","rejects with 400 when body id is a string","","Thu May 14 14:53:06 UTC 2026","passed","Thu May 14 14:53:07 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","rejects with 400 when body id is a string"
"","294","never returns a 5xx for malformed input ' '","","Thu May 14 14:53:05 UTC 2026","passed","Thu May 14 14:53:05 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","never returns a 5xx for malformed input ' '"
"","286","returns a book whose id matches the path id","","Thu May 14 14:53:08 UTC 2026","passed","Thu May 14 14:53:08 UTC 2026","","GetBookByIdHappyPathSpec","com.example.apitests.books.happyPath.GetBookByIdHappyPathSpec","returns a book whose id matches the path id"
"","280","DELETE book - id range [id: 25, #2]","","Thu May 14 14:53:11 UTC 2026","passed","Thu May 14 14:53:11 UTC 2026","","DeleteBookHappyPathSpec","com.example.apitests.books.happyPath.DeleteBookHappyPathSpec","DELETE book - id range [id: 25, #2]"
"","285","never returns a 5xx for malformed input 'xyz'","","Thu May 14 14:53:03 UTC 2026","passed","Thu May 14 14:53:04 UTC 2026","","DeleteBookNegativeSpec","com.example.apitests.books.negative.DeleteBookNegativeSpec","never returns a 5xx for malformed input 'xyz'"
"","269","Content-Type indicates JSON","","Thu May 14 14:53:10 UTC 2026","passed","Thu May 14 14:53:10 UTC 2026","","GetBookByIdHappyPathSpec","com.example.apitests.books.happyPath.GetBookByIdHappyPathSpec","Content-Type indicates JSON"
"","285","handles update with an empty JSON body without a 5xx","","Thu May 14 14:53:07 UTC 2026","passed","Thu May 14 14:53:08 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","handles update with an empty JSON body without a 5xx"
"","266","returns 4xx for malformed id 'abc'","","Thu May 14 14:53:12 UTC 2026","passed","Thu May 14 14:53:12 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id 'abc'"
"","264","returns 4xx for malformed id '1.5'","","Thu May 14 14:53:13 UTC 2026","passed","Thu May 14 14:53:13 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id '1.5'"
"","269","rejects with 400 when publishDate is not a valid date","","Thu May 14 14:53:09 UTC 2026","passed","Thu May 14 14:53:09 UTC 2026","","CreateBookNegativeSpec","com.example.apitests.books.negative.CreateBookNegativeSpec","rejects with 400 when publishDate is not a valid date"
"","281","rejects with 400 when body publishDate is malformed","","Thu May 14 14:53:07 UTC 2026","passed","Thu May 14 14:53:07 UTC 2026","","UpdateBookNegativeSpec","com.example.apitests.books.negative.UpdateBookNegativeSpec","rejects with 400 when body publishDate is malformed"
"","279","DELETE book - id range [id: 5, #1]","","Thu May 14 14:53:10 UTC 2026","passed","Thu May 14 14:53:11 UTC 2026","","DeleteBookHappyPathSpec","com.example.apitests.books.happyPath.DeleteBookHappyPathSpec","DELETE book - id range [id: 5, #1]"
"","257","returns 4xx for malformed id 'true'","","Thu May 14 14:53:14 UTC 2026","passed","Thu May 14 14:53:14 UTC 2026","","GetBookByIdNegativeSpec","com.example.apitests.books.negative.GetBookByIdNegativeSpec","returns 4xx for malformed id 'true'"
